Code	StockOnHand	Count
"6020316"	0	""
"600773"	0	""
"6064815"	0	""
"6050573"	0	""
"6082505"	0	""
"6051471"	0	""
"6044909"	0	""
"6033682"	0	""
"600753"	0	""
"6019020"	0	""
"600695"	0	""
"6010300"	0	""
"6083403"	0	""
"6079055"	0	""
"6009663"	0	""
"6043247"	0	""
"6043230"	0	""
"6077280"	0	""
"6051945"	0	""
"6051938"	0	""
"6002220"	0	""
"6080921"	0	""
"6081454"	0	""
"6070113"	0	""
"6070120"	0	""
"6012991"	557	""
"6026271"	0	""
"6041021"	0	""
"602108"	0	""
"6012410"	0	""
"602110"	0	""
"602116"	0	""
"6086046"	0	""
"6061272"	0	""
"6061289"	0	""
"6073657"	0	""
"6073671"	0	""
"6081102"	0	""
"600653"	0	""
"6048129"	0	""
"6032425"	0	""
"6002176"	0	""
"6081546"	0	""
"6003418"	3	""
"6084028"	0	""
"6054779"	0	""
"6054885"	0	""
"6061159"	0	""
"6053154"	0	""
"602215"	0	""
"6055707"	0	""
"600206"	0	""
"601072"	0	""
"600685"	0	""
"6043209"	0	""
"6040826"	0	""
"6062477"	0	""
"6082635"	0	""
"6082642"	0	""
"6000516"	0	""
"6075101"	0	""
"6069544"	0	""
"600814"	0	""
"6008628"	0	""
"6043391"	0	""
"6032418"	0	""
"6010478"	0	""
"600884"	0	""
"600089"	0	""
"6086787"	0	""
"600831"	0	""
"6086695"	0	""
"6009373"	0	""
"600037"	0	""
"6011055"	0	""
"6052928"	0	""
"6086732"	0	""
"6086749"	0	""
"6086725"	0	""
"6005887"	0	""
"6082789"	0	""
"600878"	0	""
"6083540"	0	""
"6083533"	0	""
"602874"	58	""
"6082963"	0	""
"6060565"	0	""
"6084042"	104	""
"602207"	0	""
"602208"	0	""
"6082536"	0	""
"6082529"	0	""
"6082512"	0	""
"6017118"	542	""
"600858"	2585.166	""
"600863"	0	""
"6062255"	0	""
"6084837"	358	""
"600859"	0	""
"6008591"	0	""
"600861"	436	""
"6033484"	0	""
"600865"	2222	""
"6061142"	0	""
"600868"	714	""
"6048334"	0	""
"600866"	0	""
"6006457"	922	""
"6068745"	0	""
"6070304"	0	""
"6048099"	0	""
"6053321"	3924	""
"6055745"	0	""
"6081591"	0	""
