sku,qty,is_in_stock
6080167,60.0,1
6070175,224.0,1
6084837,357.0,1
600868,706.0,1
6002121,40.0,1
6083366,0.0,0
6083373,4.0,1
6039011,12.0,1
6060473,1.0,1
6080266,38.0,1
600334,4.0,1
6080273,23.0,1
600253,19.0,1
602637,1647.0,1
6048136,7.0,1
6003418,1.0,1
6075156,34.0,1
602077,182.0,1
602346,27.0,1
602079,35.0,1
6070786,0.0,0
6061395,0.0,0
6052843,80.0,1
6022150,112.0,1
601276,101.0,1
6011932,24.0,1
601202,166.0,1
6080884,12.0,1
6080846,0.0,0
6085148,3.0,1
6080891,0.0,0
6080839,0.0,0
6003319,0,0
6080457,3.0,1
6080464,0,0
6080471,18.0,1
6085025,3.0,1
6075538,0,0
6022631,8.0,1
6055813,70.0,1
6007720,0.0,0
6011598,184.0,1
602616,138.0,1
6060626,1.0,1
6074746,3.0,1
6023065,0.0,0
6085032,0.0,0
6085049,3.0,1
6084851,32.0,1
6053765,0.0,0
6069858,12.0,1
600337,12.0,1
600336,6.0,1
600335,2.0,1
600338,3.0,1
600168,8.0,1
6058807,0.0,0
601292,26.0,1
601294,144.0,1
600254,5.0,1
601275,0,0
601387,16.0,1
602786,73.0,1
602763,140.0,1
602765,0.0,0
6013363,13.0,1
602618,45.0,1
602620,77.0,1
6085056,54.0,1
602192,96.0,1
602038,15.0,1
602051,0,0
6021146,414.0,1
602041,173.0,1
602040,71.0,1
602045,105.0,1
602047,59.0,1
602058,96.0,1
602055,29.0,1
602044,140.0,1
602049,191.0,1
602048,0.0,0
602061,0.0,0
602043,17.0,1
602053,0.0,0
602042,44.0,1
602059,0,0
602052,10.0,1
6029692,47.0,1
6051945,0.0,0
6051938,0,0
6075545,0.0,0
6002176,0.0,0
600653,0,0
6083021,10.0,1
6083014,0.0,0
6080907,0.0,0
6085087,10.0,1
6080822,0.0,0
6033989,22.0,1
6083199,17.5,1
6070779,3.0,1
6083175,12.0,1
6085223,44.0,1
6009243,22.0,1
6085216,17.0,1
6079949,13.0,1
6085247,68.0,1
6085230,25.0,1
6075033,0.0,0
6075057,16.0,1
602278,39.0,1
6083182,15.917,1
6045197,35.0,1
6085063,30.0,1
6060633,10.0,1
6076627,2.0,1
601138,365.0,1
6048877,18.0,1
6043636,13.0,1
6032159,21.0,1
6055837,31.084,1
6064921,6.0,1
6064945,4.0,1
601111,17.0,1
601109,8.0,1
601110,12.0,1
6024420,30.0,1
6064808,27.0,1
602090,18.0,1
6073534,25.0,1
600084,60.0,1
6056780,417.0,1
6010621,396.0,1
601207,39.0,1
6064907,30.0,1
6064891,30.0,1
6083052,17.0,1
6084684,90.0,1
600615,300.0,1
6065133,382.0,1
6064778,1014.0,1
6081997,1382.0,1
6043643,108.0,1
6049072,4.0,1
601228,507.0,1
601225,137.166,1
6077433,33.0,1
6077419,18.0,1
6077426,27.0,1
6077556,418.0,1
6077563,667.0,1
6079093,144.0,1
6079192,786.0,1
6080044,128.0,1
6002596,7.0,1
600017,48.0,1
6025137,371.0,1
6068455,4.0,1
6077488,221.0,1
6077440,255.0,1
6046965,17.0,1
6043704,20.0,1
6061166,36.0,1
6008413,12.0,1
6062736,1206.0,1
6060831,564.0,1
6047986,37.0,1
6027896,19.0,1
6024321,54.0,1
6010645,81.0,1
6010638,70.0,1
6016609,256.0,1
6075187,5562.0,1
6003630,552.0,1
602088,90.0,1
6024437,198.0,1
6061548,2700.0,1
6010461,1482.0,1
6077525,40.0,1
6077532,128.0,1
6084486,339.0,1
6084592,56.0,1
6003593,1602.0,1
6006761,198.0,1
6007713,4.0,1
602469,323.0,1
6024413,1980.0,1
6063740,18.0,1
6063344,16.0,1
6075019,180.0,1
6080815,90.0,1
6079468,68.0,1
6049980,38.0,1
6080532,191.0,1
6080549,195.0,1
6062309,46.0,1
6073718,94.0,1
6083281,78.0,1
6068974,55.0,1
601223,1428.0,1
6038496,282.0,1
6054755,462.0,1
601178,354.0,1
6084653,0.0,0
601266,1541.0,1
601283,672.0,1
601176,42.0,1
602086,453.0,1
602104,0.0,0
602128,199.0,1
6075095,106.0,1
6076504,21.0,1
6072735,5.0,1
6039547,40.0,1
6060961,0.0,0
6024758,0.0,0
6024246,23.0,1
6012808,36.0,1
6024222,10.0,1
6024239,34.0,1
6072759,11.0,1
6072742,3.0,1
6026448,39.0,1
6006969,10.0,1
6079086,27.0,1
6081690,0.0,0
6048532,234.0,1
6044268,121.0,1
6080068,279.0,1
6080051,263.0,1
6029821,32.0,1
6079277,276.0,1
6060572,74.0,1
6016593,6.0,1
6085254,59.0,1
6085346,6.0,1
6085285,17.0,1
6085261,7.0,1
6012991,555.0,1
6012960,486.0,1
6013134,435.0,1
6068462,31.0,1
6029686,376.0,1
6060312,3.0,1
6085339,33.0,1
6085292,74.0,1
6085322,30.0,1
6085315,26.0,1
6085308,30.0,1
6081416,5.0,1
6081423,2.0,1
6085452,16.0,1
6085438,44.0,1
6085391,196.0,1
6085377,14.0,1
6085384,10.0,1
6085490,16.0,1
6085506,13.0,1
6085513,36.0,1
600286,0.0,0
6085643,15.0,1
6085667,10.0,1
6085650,13.0,1
6085704,23.0,1
6085681,10.0,1
6085629,3.0,1
6085636,0.0,0
6085674,20.0,1
6082857,18.0,1
600967,16.0,1
6085735,68.0,1
6085698,36.0,1
6057183,31.0,1
6086251,39.0,1
6079482,43.0,1
6086237,28.0,1
6086244,41.0,1
6079666,89.0,1
6054403,57.0,1
6086015,0.0,0
6086008,6.0,1
6085995,25.0,1
6086299,40.0,1
6086282,10.0,1
6053321,3919.0,1
6049164,373.0,1
6079659,84.0,1
6087173,753.0,1
6076825,343.0,1
