sku,name,short_description,description,price,weight,qty,_category,_attribute_set,_type,_root_category,status,tax_class_id,visibility,_product_websites,image,small_image,thumbnail,is_in_stock,_media_attribute_id,_media_image
6076375,JELLY BELLY ASST 34GX24,JELLY BELLY ASST 34GX24,JELLY BELLY ASST 34GX24,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076375.png,6076375.png,6076375.png,1,80,6076375.png
6076023,HILCO MINIONS TWISTPOP 16G*12,HILCO MINIONS TWISTPOP 16G*12,HILCO MINIONS TWISTPOP 16G*12,29.37,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076023.png,6076023.png,6076023.png,1,80,6076023.png
6075613,CUDDLY 450ML ANTIBACTERIAL,CUDDLY 450ML ANTIBACTERIAL,CUDDLY 450ML ANTIBACTERIAL,2.27,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075613.png,6075613.png,6075613.png,1,80,6075613.png
6075590,CUDDLY 450ML CONCENTRATE,CUDDLY 450ML CONCENTRATE,CUDDLY 450ML CONCENTRATE,2.27,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075590.png,6075590.png,6075590.png,1,80,6075590.png
6075286,JR TWISTS APPLE 160,JR TWISTS APPLE 160,JR TWISTS APPLE 160,13.88,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075286.png,6075286.png,6075286.png,1,80,6075286.png
6075279,JR TWISTS WATERMELON 160,JR TWISTS WATERMELON 160,JR TWISTS WATERMELON 160,13.88,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075279.png,6075279.png,6075279.png,1,80,6075279.png
6075262,HOSTESS SNO BALLS 298G,HOSTESS SNO BALLS 298G,HOSTESS SNO BALLS 298G,7.9,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075262.png,6075262.png,6075262.png,1,80,6075262.png
6075255,POP TART VANILLA LATTE 400G*8,POP TART VANILLA LATTE 400G*8,POP TART VANILLA LATTE 400G*8,5,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075255.png,6075255.png,6075255.png,1,80,6075255.png
6075231,CHOCO TREASURE EMOJI EGG 12,CHOCO TREASURE EMOJI EGG 12,CHOCO TREASURE EMOJI EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075231.png,6075231.png,6075231.png,1,80,6075231.png
6075224,CHOCO TREASURE SHOPKINS EGG 12,CHOCO TREASURE SHOPKINS EGG 12,CHOCO TREASURE SHOPKINS EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075224.png,6075224.png,6075224.png,1,80,6075224.png
6075217,WELCH'S STRAWBERRY 142G,WELCH'S STRAWBERRY 142G,WELCH'S STRAWBERRY 142G,24,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075217.png,6075217.png,6075217.png,1,80,6075217.png
6075200,WELCH'S CONCORD GRAPE 142G,WELCH'S CONCORD GRAPE 142G,WELCH'S CONCORD GRAPE 142G,24,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075200.png,6075200.png,6075200.png,1,80,6075200.png
6075194,WELCH'S BERRY CHERRY 142G,WELCH'S BERRY CHERRY 142G,WELCH'S BERRY CHERRY 142G,24,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075194.png,6075194.png,6075194.png,1,80,6075194.png
6075132,RAZZLES 2PC FUN SIZE 240,RAZZLES 2PC FUN SIZE 240,RAZZLES 2PC FUN SIZE 240,24.24,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075132.png,6075132.png,6075132.png,1,80,6075132.png
6075095,MIKE IKE MEGA MIX 141G,MIKE IKE MEGA MIX 141G,MIKE IKE MEGA MIX 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6075095.png,6075095.png,6075095.png,1,80,6075095.png
6073572,HICHEW SOUR GRAPEFRUIT 33G*20,HICHEW SOUR GRAPEFRUIT 33G*20,HICHEW SOUR GRAPEFRUIT 33G*20,20,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073572.png,6073572.png,6073572.png,1,80,6073572.png
6073565,HICHEW SOUR LEMON 33G*20,HICHEW SOUR LEMON 33G*20,HICHEW SOUR LEMON 33G*20,20,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073565.png,6073565.png,6073565.png,1,80,6073565.png
6073558,HICHEW SOUR LIME 33G*20,HICHEW SOUR LIME 33G*20,HICHEW SOUR LIME 33G*20,20,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073558.png,6073558.png,6073558.png,1,80,6073558.png
6073534,JR FILLED TRIPLE LOLLIPOP 20G,JR FILLED TRIPLE LOLLIPOP 20G,JR FILLED TRIPLE LOLLIPOP 20G,15.1,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073534.png,6073534.png,6073534.png,1,80,6073534.png
6073466,SNICKERS HAZELNUT 2PAK 91G*24,SNICKERS HAZELNUT 2PAK 91G*24,SNICKERS HAZELNUT 2PAK 91G*24,52.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073466.png,6073466.png,6073466.png,1,80,6073466.png
6073367,YOWIE(US) CHOC WITH TOY 12,YOWIE(US) CHOC WITH TOY 12,YOWIE(US) CHOC WITH TOY 12,41.98,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073367.png,6073367.png,6073367.png,1,80,6073367.png
6073350,CHOCO TREASURE EGG 12,CHOCO TREASURE EGG 12,CHOCO TREASURE EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073350.png,6073350.png,6073350.png,1,80,6073350.png
6073343,DREAMWORKS TREASURE EGG 12,DREAMWORKS TREASURE EGG 12,DREAMWORKS TREASURE EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073343.png,6073343.png,6073343.png,1,80,6073343.png
6073336,HELLO KITTY TREASURE EGG 12,HELLO KITTY TREASURE EGG 12,HELLO KITTY TREASURE EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073336.png,6073336.png,6073336.png,1,80,6073336.png
6073329,MINIONS TREASURE EGG 12,MINIONS TREASURE EGG 12,MINIONS TREASURE EGG 12,20.81,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6073329.png,6073329.png,6073329.png,1,80,6073329.png
6072766,MIKE IKE CARAMEL APPLE 141G*12,MIKE IKE CARAMEL APPLE 141G*12,MIKE IKE CARAMEL APPLE 141G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6072766.png,6072766.png,6072766.png,1,80,6072766.png
6072759,MIKE IKE FRUIT PUNCH 102G*12,MIKE IKE FRUIT PUNCH 102G*12,MIKE IKE FRUIT PUNCH 102G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6072759.png,6072759.png,6072759.png,1,80,6072759.png
6072742,MIKE IKE GREEN APPLE 102G*12,MIKE IKE GREEN APPLE 102G*12,MIKE IKE GREEN APPLE 102G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6072742.png,6072742.png,6072742.png,1,80,6072742.png
6072735,MIKE IKE INTENSE FRUIT 102G*12,MIKE IKE INTENSE FRUIT 102G*12,MIKE IKE INTENSE FRUIT 102G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6072735.png,6072735.png,6072735.png,1,80,6072735.png
6071837,TOOTSIE POPS MINIATURES 140'S,TOOTSIE POPS MINIATURES 140'S,TOOTSIE POPS MINIATURES 140'S,7.5,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071837.png,6071837.png,6071837.png,1,80,6071837.png
6071226,JR CRAYON GRAPE 10'S,JR CRAYON GRAPE 10'S,JR CRAYON GRAPE 10'S,12.95,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071226.png,6071226.png,6071226.png,1,80,6071226.png
6071219,PEZ SECRET LIFE OF PETS 6,PEZ SECRET LIFE OF PETS 6,PEZ SECRET LIFE OF PETS 6,13.63,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071219.png,6071219.png,6071219.png,1,80,6071219.png
6071202,PEZ TROLLS 6,PEZ TROLLS 6,PEZ TROLLS 6,13.63,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071202.png,6071202.png,6071202.png,1,80,6071202.png
6071073,LINDOR SEASALT CARAMEL BOX 5PC,LINDOR SEASALT CARAMEL BOX 5PC,LINDOR SEASALT CARAMEL BOX 5PC,31.43,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071073.png,6071073.png,6071073.png,1,80,6071073.png
6071066,LINDOR STRAW CREAM BOX 5PC,LINDOR STRAW CREAM BOX 5PC,LINDOR STRAW CREAM BOX 5PC,31.43,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071066.png,6071066.png,6071066.png,1,80,6071066.png
6071059,LINDOR MILK BOX 5PC,LINDOR MILK BOX 5PC,LINDOR MILK BOX 5PC,31.43,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071059.png,6071059.png,6071059.png,1,80,6071059.png
6071035,LINDOR COCONUT BAR 38G*24,LINDOR COCONUT BAR 38G*24,LINDOR COCONUT BAR 38G*24,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6071035.png,6071035.png,6071035.png,1,80,6071035.png
6070809,MIKE IKE MUMMY'S MIX 141G,MIKE IKE MUMMY'S MIX 141G,MIKE IKE MUMMY'S MIX 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6070809.png,6070809.png,6070809.png,1,80,6070809.png
6070793,MIKE IKE VAMPIRE VARIETY 141G,MIKE IKE VAMPIRE VARIETY 141G,MIKE IKE VAMPIRE VARIETY 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6070793.png,6070793.png,6070793.png,1,80,6070793.png
6070786,NOW & LATER EXTREME SOUR 78G,NOW & LATER EXTREME SOUR 78G,NOW & LATER EXTREME SOUR 78G,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6070786.png,6070786.png,6070786.png,1,80,6070786.png
6070779,NOW & LATER ORIGINAL 78G*24,NOW & LATER ORIGINAL 78G*24,NOW & LATER ORIGINAL 78G*24,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6070779.png,6070779.png,6070779.png,1,80,6070779.png
6069964,HICHEW BANANA 50G*10,HICHEW BANANA 50G*10,HICHEW BANANA 50G*10,9.75,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069964.png,6069964.png,6069964.png,1,80,6069964.png
6069568,SNICKERS ALMOND 2PAK 91G*24,SNICKERS ALMOND 2PAK 91G*24,SNICKERS ALMOND 2PAK 91G*24,52.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069568.png,6069568.png,6069568.png,1,80,6069568.png
6069469,TOOTSIE JUNIOR MINTS 85G*12,TOOTSIE JUNIOR MINTS 85G*12,TOOTSIE JUNIOR MINTS 85G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069469.png,6069469.png,6069469.png,1,80,6069469.png
6069377,TWIX PEANUT BUTTER 79G*18,TWIX PEANUT BUTTER 79G*18,TWIX PEANUT BUTTER 79G*18,39.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069377.png,6069377.png,6069377.png,1,80,6069377.png
6069070,TAKE5 SNACK MIX 56G*10,TAKE5 SNACK MIX 56G*10,TAKE5 SNACK MIX 56G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069070.png,6069070.png,6069070.png,1,80,6069070.png
6069018,HERSHEY MILK XLGE BAR 124G*12,HERSHEY MILK XLGE BAR 124G*12,HERSHEY MILK XLGE BAR 124G*12,31.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6069018.png,6069018.png,6069018.png,1,80,6069018.png
6068974,IMPACT WARHEAD TWISTS 113G*12,IMPACT WARHEAD TWISTS 113G*12,IMPACT WARHEAD TWISTS 113G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068974.png,6068974.png,6068974.png,1,80,6068974.png
6068882,KLONDIKE CANDY CARAMEL 39G*16,KLONDIKE CANDY CARAMEL 39G*16,KLONDIKE CANDY CARAMEL 39G*16,20.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068882.png,6068882.png,6068882.png,1,80,6068882.png
6068875,KLONDIKE MINT CHOC CHIP 39G*16,KLONDIKE MINT CHOC CHIP 39G*16,KLONDIKE MINT CHOC CHIP 39G*16,20.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068875.png,6068875.png,6068875.png,1,80,6068875.png
6068868,NUTRAGEOUS SNACK BITES 70G*10,NUTRAGEOUS SNACK BITES 70G*10,NUTRAGEOUS SNACK BITES 70G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068868.png,6068868.png,6068868.png,1,80,6068868.png
6068851,SKITTLES AMERICAN MIX 56G*24,SKITTLES AMERICAN MIX 56G*24,SKITTLES AMERICAN MIX 56G*24,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068851.png,6068851.png,6068851.png,1,80,6068851.png
6068394,MOON PIE BITES BOX 88G,MOON PIE BITES BOX 88G,MOON PIE BITES BOX 88G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6068394.png,6068394.png,6068394.png,1,80,6068394.png
6067984,F.PAN REDHOT MANGO LIME142G*12,F.PAN REDHOT MANGO LIME142G*12,F.PAN REDHOT MANGO LIME142G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6067984.png,6067984.png,6067984.png,1,80,6067984.png
6067496,MIKE IKE ROOT BEER FLOAT 141G,MIKE IKE ROOT BEER FLOAT 141G,MIKE IKE ROOT BEER FLOAT 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6067496.png,6067496.png,6067496.png,1,80,6067496.png
6067489,MIKE IKE PATRIOTIC MIX 141G,MIKE IKE PATRIOTIC MIX 141G,MIKE IKE PATRIOTIC MIX 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6067489.png,6067489.png,6067489.png,1,80,6067489.png
6067472,MIKE IKE WARCRAFT BATTLE 141G,MIKE IKE WARCRAFT BATTLE 141G,MIKE IKE WARCRAFT BATTLE 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6067472.png,6067472.png,6067472.png,1,80,6067472.png
6067151,HERSHEY'S MILK 16OZ BLOCK,HERSHEY'S MILK 16OZ BLOCK,HERSHEY'S MILK 16OZ BLOCK,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6067151.png,6067151.png,6067151.png,1,80,6067151.png
6066789,REESES NUTRAGEOU K.SIZE 87G*18,REESES NUTRAGEOU K.SIZE 87G*18,REESES NUTRAGEOU K.SIZE 87G*18,39.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6066789.png,6066789.png,6066789.png,1,80,6066789.png
6065928,GOODNESSKNOW BAR APPLE 34G,GOODNESSKNOW BAR APPLE 34G,GOODNESSKNOW BAR APPLE 34G,16.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6065928.png,6065928.png,6065928.png,1,80,6065928.png
6065751,MENTOS CINNAMON THEATER BOX,MENTOS CINNAMON THEATER BOX,MENTOS CINNAMON THEATER BOX,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6065751.png,6065751.png,6065751.png,1,80,6065751.png
6065188,F.PAN REDHOT CINNAMON 170G*12,F.PAN REDHOT CINNAMON 170G*12,F.PAN REDHOT CINNAMON 170G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6065188.png,6065188.png,6065188.png,1,80,6065188.png
6064945,F.PAN LEMONHEAD PINK 142G*12,F.PAN LEMONHEAD PINK 142G*12,F.PAN LEMONHEAD PINK 142G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064945.png,6064945.png,6064945.png,1,80,6064945.png
6064921,F.PAN LEMONHEAD CITRUS 142G*12,F.PAN LEMONHEAD CITRUS 142G*12,F.PAN LEMONHEAD CITRUS 142G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064921.png,6064921.png,6064921.png,1,80,6064921.png
6064907,HERSHEY'S SNACK MIX 56G*10,HERSHEY'S SNACK MIX 56G*10,HERSHEY'S SNACK MIX 56G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064907.png,6064907.png,6064907.png,1,80,6064907.png
6064891,REESE'S SNACK MIX 56G*10,REESE'S SNACK MIX 56G*10,REESE'S SNACK MIX 56G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064891.png,6064891.png,6064891.png,1,80,6064891.png
6064884,MR GOODBAR SNACK BITES 70G*10,MR GOODBAR SNACK BITES 70G*10,MR GOODBAR SNACK BITES 70G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064884.png,6064884.png,6064884.png,1,80,6064884.png
6064877,HERSHEY SNACK BITES 70G*10,HERSHEY SNACK BITES 70G*10,HERSHEY SNACK BITES 70G*10,25,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064877.png,6064877.png,6064877.png,1,80,6064877.png
6064860,M/WAY MIDNIGHT K.SIZE 80G*24,M/WAY MIDNIGHT K.SIZE 80G*24,M/WAY MIDNIGHT K.SIZE 80G*24,52.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064860.png,6064860.png,6064860.png,1,80,6064860.png
6064846,HERSHEY TAKE5 K.SIZE 63G*18,HERSHEY TAKE5 K.SIZE 63G*18,HERSHEY TAKE5 K.SIZE 63G*18,39.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064846.png,6064846.png,6064846.png,1,80,6064846.png
6064839,MARS SNICKERS CRISPER 40G*18,MARS SNICKERS CRISPER 40G*18,MARS SNICKERS CRISPER 40G*18,21.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064839.png,6064839.png,6064839.png,1,80,6064839.png
6064808,REESE WHITE CUP K.SIZE 79G,REESE WHITE CUP K.SIZE 79G,REESE WHITE CUP K.SIZE 79G,39.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064808.png,6064808.png,6064808.png,1,80,6064808.png
6064792,SKITTLES SWT SOURS 99G*12,SKITTLES SWT SOURS 99G*12,SKITTLES SWT SOURS 99G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064792.png,6064792.png,6064792.png,1,80,6064792.png
6064747,IMPACT WARHEAD WORMS 113G*12,IMPACT WARHEAD WORMS 113G*12,IMPACT WARHEAD WORMS 113G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064747.png,6064747.png,6064747.png,1,80,6064747.png
6064310,MENTOS FRUIT THEATER BOX,MENTOS FRUIT THEATER BOX,MENTOS FRUIT THEATER BOX,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064310.png,6064310.png,6064310.png,1,80,6064310.png
6064228,MARY JANE THEATER BOX 3.5OZ,MARY JANE THEATER BOX 3.5OZ,MARY JANE THEATER BOX 3.5OZ,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064228.png,6064228.png,6064228.png,1,80,6064228.png
6064204,MARS SNICKERS MIXED N 49.9G*24,MARS SNICKERS MIXED N 49.9G*24,MARS SNICKERS MIXED N 49.9G*24,28.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064204.png,6064204.png,6064204.png,1,80,6064204.png
6064075,GOODNESSKNOW BAR CRANBERRY 34G,GOODNESSKNOW BAR CRANBERRY 34G,GOODNESSKNOW BAR CRANBERRY 34G,16.8,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064075.png,6064075.png,6064075.png,1,80,6064075.png
6064020,REESES PIECES 43G*18,REESES PIECES 43G*18,REESES PIECES 43G*18,21.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6064020.png,6064020.png,6064020.png,1,80,6064020.png
6063740,CHARMS SUGAR BABIES 48G*24,CHARMS SUGAR BABIES 48G*24,CHARMS SUGAR BABIES 48G*24,33.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6063740.png,6063740.png,6063740.png,1,80,6063740.png
6062309,IMPACT WARHEAD WORMS 142G,IMPACT WARHEAD WORMS 142G,IMPACT WARHEAD WORMS 142G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062309.png,6062309.png,6062309.png,1,80,6062309.png
6062293,MIKE IKE JURASSIC TROPICA 141G,MIKE IKE JURASSIC TROPICA 141G,MIKE IKE JURASSIC TROPICA 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062293.png,6062293.png,6062293.png,1,80,6062293.png
6062255,DR PEPPER BITES BOX 85G*12,DR PEPPER BITES BOX 85G*12,DR PEPPER BITES BOX 85G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062255.png,6062255.png,6062255.png,1,80,6062255.png
6062248,A&W ROOT BEER BOX 85G*12,A&W ROOT BEER BOX 85G*12,A&W ROOT BEER BOX 85G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062248.png,6062248.png,6062248.png,1,80,6062248.png
6062231,CRUSH GRAPE BOX 85G*12,CRUSH GRAPE BOX 85G*12,CRUSH GRAPE BOX 85G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062231.png,6062231.png,6062231.png,1,80,6062231.png
6062224,CRUSH ORANGE BOX 85G*12,CRUSH ORANGE BOX 85G*12,CRUSH ORANGE BOX 85G*12,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062224.png,6062224.png,6062224.png,1,80,6062224.png
6062217,JOLLY RANCHER CHEW BOX 43GX9,JOLLY RANCHER CHEW BOX 43GX9,JOLLY RANCHER CHEW BOX 43GX9,12.6,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6062217.png,6062217.png,6062217.png,1,80,6062217.png
6061401,STRAWBERRY DREAM BITES 88G,STRAWBERRY DREAM BITES 88G,STRAWBERRY DREAM BITES 88G,1.75,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6061401.png,6061401.png,6061401.png,1,80,6061401.png
6061142,DR PEPPER CHOC BARS 30G,DR PEPPER CHOC BARS 30G,DR PEPPER CHOC BARS 30G,16.2,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6061142.png,6061142.png,6061142.png,1,80,6061142.png
6061029,LINDT CRUNCHY NOUGAT 39G,LINDT CRUNCHY NOUGAT 39G,LINDT CRUNCHY NOUGAT 39G,36,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6061029.png,6061029.png,6061029.png,1,80,6061029.png
6061012,LINDT STRAW CHEESECAKE 39G,LINDT STRAW CHEESECAKE 39G,LINDT STRAW CHEESECAKE 39G,36,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6061012.png,6061012.png,6061012.png,1,80,6061012.png
6061005,LINDT COOKIE CREAM 39G,LINDT COOKIE CREAM 39G,LINDT COOKIE CREAM 39G,36,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6061005.png,6061005.png,6061005.png,1,80,6061005.png
