sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brands,cin7_import,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
6061289,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"CPE GLOVES MED 100'S",,,,0,/6/0/6061289.jpg,,,,,,,,,,"Use config","Use config","CPE GLOVES MED 100'S",,,"Block after Info Column",,1.3600,0,"CPE GLOVES MED 100'S",/6/0/6061289.jpg,,,,,1,2,/6/0/6061289.jpg,,"2017-12-07 04:36:46",cpe-gloves-med-100-s,cpe-gloves-med-100-s.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6061289.jpg,,0,0
6061272,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"CPE GLOVES LGE 100'S",,,,0,/6/0/6061272.jpg,,,,,,,,,,"Use config","Use config","CPE GLOVES LGE 100'S",,,"Block after Info Column",,1.3600,0,"CPE GLOVES LGE 100'S",/6/0/6061272.jpg,,,,,1,2,/6/0/6061272.jpg,,"2017-12-07 04:36:46",cpe-gloves-lge-100-s,cpe-gloves-lge-100-s.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6061272.jpg,,0,0
6060251,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"GLAD FOIL REFILL 20M X 30CM",,,,0,/6/0/6060251.jpg,,,,,,,,,,"Use config","Use config","GLAD FOIL REFILL 20M X 30CM",,,"Block after Info Column",,1.7300,0,"GLAD FOIL REFILL 20M X 30CM",/6/0/6060251.jpg,,,,,1,2,/6/0/6060251.jpg,,"2017-12-07 04:36:46",glad-foil-refill-20m-x-30cm,glad-foil-refill-20m-x-30cm.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6060251.jpg,,0,0
6060244,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"MULTIX DEGRADABLE  BAGS 4'S",,,,0,/6/0/6060244.jpg,,,,,,,,,,"Use config","Use config","MULTIX DEGRADABLE  BAGS 4'S",,,"Block after Info Column",,1.5000,0,"MULTIX DEGRADABLE  BAGS 4'S",/6/0/6060244.jpg,,,,,1,2,/6/0/6060244.jpg,,"2017-12-07 04:36:46",multix-degradable-bags-4-s,multix-degradable-bags-4-s.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6060244.jpg,,0,0
6058623,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"GLAD WRAP 60M X 33CM",,,,0,/6/0/6058623.jpg,,,,,,,,,,"Use config","Use config","GLAD WRAP 60M X 33CM",,,"Block after Info Column",,2.7300,0,"GLAD WRAP 60M X 33CM",/6/0/6058623.jpg,,,,,1,2,/6/0/6058623.jpg,,"2017-12-07 04:36:46",glad-wrap-60m-x-33cm,glad-wrap-60m-x-33cm.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6058623.jpg,,0,0
6057596,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"MORTEIN RAT KILL 4SACHETS",,,,0,/6/0/6057596.jpg,,,,,,,,,,"Use config","Use config","MORTEIN RAT KILL 4SACHETS",,,"Block after Info Column",,2.2700,0,"MORTEIN RAT KILL 4SACHETS",/6/0/6057596.jpg,,,,,1,2,/6/0/6057596.jpg,,"2017-12-07 04:36:46",mortein-rat-kill-4sachets,mortein-rat-kill-4sachets.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6057596.jpg,,0,0
6056230,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"MORTEIN 350G SURFACE SPRAY",,,,0,/6/0/6056230.jpg,,,,,,,,,,"Use config","Use config","MORTEIN 350G SURFACE SPRAY",,,"Block after Info Column",,5.9100,0,"MORTEIN 350G SURFACE SPRAY",/6/0/6056230.jpg,,,,,1,2,/6/0/6056230.jpg,,"2017-12-07 04:36:46",mortein-350g-surface-spray,mortein-350g-surface-spray.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6056230.jpg,,0,0
6056049,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"CHUX SUPER SCRUB 2'S",,,,0,/6/0/6056049.jpg,,,,,,,,,,"Use config","Use config","CHUX SUPER SCRUB 2'S",,,"Block after Info Column",,1.6400,0,"CHUX SUPER SCRUB 2'S",/6/0/6056049.jpg,,,,,1,2,/6/0/6056049.jpg,,"2017-12-07 04:36:45",chux-super-scrub-2-s,chux-super-scrub-2-s.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6056049.jpg,,0,0
6055363,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"ROUND PLATES 230MM*50",,,,0,/6/0/6055363.jpg,,,,,,,,,,"Use config","Use config","ROUND PLATES 230MM*50",,,"Block after Info Column",,2.7300,0,"ROUND PLATES 230MM*50",/6/0/6055363.jpg,,,,,1,2,/6/0/6055363.jpg,,"2017-12-07 04:36:45",round-plates-230mm-50,round-plates-230mm-50.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6055363.jpg,,0,0
6053246,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"COFFEE CUP WITH HANDLE 4OZ",,,,0,/6/0/6053246.jpg,,,,,,,,,,"Use config","Use config","COFFEE CUP WITH HANDLE 4OZ",,,"Block after Info Column",,2.7300,0,"COFFEE CUP WITH HANDLE 4OZ",/6/0/6053246.jpg,,,,,1,2,/6/0/6053246.jpg,,"2017-12-07 04:36:45",coffee-cup-with-handle-4oz,coffee-cup-with-handle-4oz.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6053246.jpg,,0,0
