sku,name,short_description,description,price,weight,qty,_category,_attribute_set,_type,_root_category,status,tax_class_id,_product_websites,image,small_image,thumbnail,is_in_stock,_media_attribute_id,_media_image
6035129,HERSHEY'S SNAPSY BUNNIES 56G,HERSHEY'S SNAPSY BUNNIES 56G,HERSHEY'S SNAPSY BUNNIES 56G,3,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035129.png,6035129.png,6035129tn.png,1,80,6035129.png
6035136,NERDS BUMPY JELLY BEANS 368G,NERDS BUMPY JELLY BEANS 368G,NERDS BUMPY JELLY BEANS 368G,4.5,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035136.png,6035136.png,6035136tn.png,1,80,6035136.png
6035143,WONKA BUNNIES GUMMIES 311G,WONKA BUNNIES GUMMIES 311G,WONKA BUNNIES GUMMIES 311G,3.5,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035143.png,6035143.png,6035143tn.png,1,80,6035143.png
6035174,REESE'S MINI FILLED EGGS 26G,REESE'S MINI FILLED EGGS 26G,REESE'S MINI FILLED EGGS 26G,27,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035174.png,6035174.png,6035174tn.png,1,80,6035174.png
6035181,CAD MINI CREME EGG 12PK 107G,CAD MINI CREME EGG 12PK 107G,CAD MINI CREME EGG 12PK 107G,6,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035181.png,6035181.png,6035181tn.png,1,80,6035181.png
6035198,REESE'S PB EGG K.SIZE 68G,REESE'S PB EGG K.SIZE 68G,REESE'S PB EGG K.SIZE 68G,52.8,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035198.png,6035198.png,6035198tn.png,1,80,6035198.png
6035204,WHOPPERS ROBIN EGGS 113G,WHOPPERS ROBIN EGGS 113G,WHOPPERS ROBIN EGGS 113G,25,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035204.png,6035204.png,6035204tn.png,1,80,6035204.png
6035686,HERSHEY'S SPEEDY BUNNY 141G,HERSHEY'S SPEEDY BUNNY 141G,HERSHEY'S SPEEDY BUNNY 141G,5.95,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035686.png,6035686.png,6035686tn.png,1,80,6035686.png
6057701,SNICKERS EASTER BUNNY 141G,SNICKERS EASTER BUNNY 141G,SNICKERS EASTER BUNNY 141G,5.2,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6057701.png,6057701.png,6057701tn.png,1,80,6057701.png
6057718,REESE'S PB BUNNY 141G,REESE'S PB BUNNY 141G,REESE'S PB BUNNY 141G,6,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6057718.png,6057718.png,6057718tn.png,1,80,6057718.png
